product_name,5_stars,4_stars,3_stars,2_stars,1_stars,additional_information,url
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 2 + 1 Seater)",53%,16%,18%,0%,13%,Colour Name: BrownSize Name: 2 + 1 Seater,https://www.amazon.co.uk/product-reviews/B07XPD3SRZ
"More4Homes POSTANA ELECTRIC HIGH BACK JUMBO CORD FABRIC RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 2 + 2 Seater)",0%,0%,0%,0%,0%,"",https://www.amazon.co.uk/product-reviews/B07W7T8BSS
"More4Homes POSTANA HIGH BACK JUMBO CORD FABRIC RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Grey, 2 + 2 Seater)",65%,14%,7%,8%,5%,Colour Name: GreySize Name: 2 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07VWCBS2J
"More4Homes SEATTLE HIGH BACK ELECTRIC BONDED LEATHER RECLINER 3 + 2 + 1 SOFA SET SUITE (Black, 2 + 2 Seater)",34%,18%,38%,9%,0%,Colour Name: BlackSize Name: 2 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07ZQPYKJM
"More4Homes SEATTLE HIGH BACK ELECTRIC BONDED LEATHER RECLINER 3 + 2 + 1 SOFA SET SUITE (Brown, 2 + 2 Seater)",34%,18%,38%,9%,0%,Colour Name: BrownSize Name: 2 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07ZQPDWND
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 2 + 2 Seater)",53%,16%,18%,0%,13%,Colour Name: BrownSize Name: 2 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07XPGQ211
"More4Homes POSTANA ELECTRIC HIGH BACK JUMBO CORD FABRIC RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 2 + 3 Seater)",0%,0%,0%,0%,0%,"",https://www.amazon.co.uk/product-reviews/B07W6R884L
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Black, 3 + 1 Seater)",53%,16%,18%,0%,13%,Colour Name: BlackSize Name: 3 + 1 Seater,https://www.amazon.co.uk/product-reviews/B07XPJ5YDN
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 3 + 1 Seater)",53%,16%,18%,0%,13%,Colour Name: BrownSize Name: 3 + 1 Seater,https://www.amazon.co.uk/product-reviews/B07XPDDKBC
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 3 + 2 + 1 Seater)",53%,16%,18%,0%,13%,Colour Name: BrownSize Name: 3 + 2 + 1 Seater,https://www.amazon.co.uk/product-reviews/B07XKVYKC7
"More4Homes SEATTLE HIGH BACK ELECTRIC BONDED LEATHER RECLINER 3 + 2 + 1 SOFA SET SUITE (Black, 3 + 2 Seater)",34%,18%,38%,9%,0%,Colour Name: BlackSize Name: 3 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07ZQPZFFH
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 3 + 2 Seater)",53%,16%,18%,0%,13%,Colour Name: BrownSize Name: 3 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07XKVYDZ2
"More4Homes SEATTLE HIGH BACK ELECTRIC BONDED LEATHER RECLINER 3 + 2 + 1 SOFA SET SUITE (Brown, 3 + 2 Seater)",34%,18%,38%,9%,0%,Colour Name: BrownSize Name: 3 + 2 Seater,https://www.amazon.co.uk/product-reviews/B07ZQPL17H
"More4Homes POSTANA ELECTRIC HIGH BACK JUMBO CORD FABRIC RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 3 + 3 Seater)",0%,0%,0%,0%,0%,"",https://www.amazon.co.uk/product-reviews/B07W8W9B24
"More4Homes SEATTLE HIGH BACK ELECTRIC BONDED LEATHER RECLINER 3 + 2 + 1 SOFA SET SUITE (Black, 3 + 3 Seater)",34%,18%,38%,9%,0%,Colour Name: BlackSize Name: 3 + 3 Seater,https://www.amazon.co.uk/product-reviews/B07ZQQ7H5R
"More4Homes SEATTLE HIGH BACK ELECTRIC BONDED LEATHER RECLINER 3 + 2 + 1 SOFA SET SUITE (Brown, 3 + 3 Seater)",34%,18%,38%,9%,0%,Colour Name: BrownSize Name: 3 + 3 Seater,https://www.amazon.co.uk/product-reviews/B07ZQNW31J
"More4Homes SEATTLE HIGH BACK BONDED LEATHER RECLINER 3 + 2 + 1 SOFA ARMCHAIR SET SUITE (Brown, 3 + 3 Seater)",53%,16%,18%,0%,13%,Colour Name: BrownSize Name: 3 + 3 Seater,https://www.amazon.co.uk/product-reviews/B07XPDLKJC
AXEL ROCKING OCCASIONAL NURSING FABRIC LOUNGE BEDROOM MODERN ACCENT ROCKER CHAIR BLUE,0%,100%,0%,0%,0%,"",https://www.amazon.co.uk/product-reviews/B09HQZYDZ2
CLARA WING BACK FABRIC OCCASIONAL LIVING ROOM BEDROOM LINEN MODERN ACCENT CHAIR ARMCHAIR BLUE,0%,0%,0%,0%,0%,Colour Name: BlueSize Name: Without Stool,https://www.amazon.co.uk/product-reviews/B0972PCPKR
"CLARA WING BACK FABRIC OCCASIONAL LIVING ROOM BEDROOM LINEN MODERN ACCENT CHAIR ARMCHAIR (Green, Without Stool)",0%,0%,0%,0%,0%,Colour Name: GreenSize Name: Without Stool,https://www.amazon.co.uk/product-reviews/B0972MJ3SL
"CLARA WING BACK FABRIC OCCASIONAL LIVING ROOM BEDROOM LINEN MODERN ACCENT CHAIR ARMCHAIR (Green, With Stool)",0%,0%,0%,0%,0%,Colour Name: GreenSize Name: With Stool,https://www.amazon.co.uk/product-reviews/B0972M57VG
"",0%,0%,0%,0%,0%,Colour Name: GreySize Name: Without Stool,https://www.amazon.co.uk/product-reviews/B0972L6H5B
JACOBSEN OCCASIONAL FABRIC LOUNGE BEDROOM MODERN METAL LEGS ACCENT CHAIR WITH STOOL BLUE,0%,63%,37%,0%,0%,Colour Name: Blue,https://www.amazon.co.uk/product-reviews/B09HWMXL2N
